Company Name,Company Website,Company Location,Sector,Classification,Source
Allen Solly,https://www.allensolly.com/,"Mogappair West Main Road, Ambattur Industrial Estate  Chennai",IT/Business Services,Company,OpenStreetMap
Louis Philippe,https://www.louisphilippe.com/,"Mogappair West Main Road, Ambattur Industrial Estate  Chennai",IT/Business Services,Company,OpenStreetMap
Peter England,https://www.peterengland.com/,"Mogappair West Main Road, Ambattur Industrial Estate  Chennai",IT/Business Services,Company,OpenStreetMap
Thirumangalam EB Office Bus Stop,https://mtcbus.org/,Ambattur Estate Road  Chennai,IT/Business Services,Company,OpenStreetMap
ObjectFrontier Software,https://www.objectfrontier.com/,Taramani Road  Chennai,IT Services,Company,OpenStreetMap
Zostel,https://zostel.com/zostel/chennai,"Ellaiamman colony, 5th street,Teynampet, Chennai, Tamil Nadu 600018  Chennai",IT/Business Services,Company,OpenStreetMap
Olympia Opaline,https://www.olympiagroup.in/olympia-opaline/index.html,Chennai,IT/Business Services,Company,OpenStreetMap
Loyola Institute of Business Administration,https://liba.edu/,Chennai,Business/Consulting,Company,OpenStreetMap
Trail cloud innovation services Pvt.Ltd,https://www.trail.do/,Thiruvalluvar salai  Chennai,IT Services,Company,OpenStreetMap
Decathlon,https://www.decathlon.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Way2SearchAnything,https://www.way2searchonlineshopping.com/,"Padikuppam road, Balaji Nagar, Thirumangalam, Anna Nagar West, Chennai  Chennai",IT/Business Services,Company,OpenStreetMap
The Spring Hotel,https://www.thespringhotel.com/,Kodambakkam High Road  Chennai,IT/Business Services,Company,OpenStreetMap
King Institute of Preventive Medicine and Research,https://www.kipmr.org.in/,Chennai,Electric/Energy,Company,OpenStreetMap
ST Courier,http://stcourier.com/,MKN Road  Chennai,IT/Business Services,Company,OpenStreetMap
Ducen IT,https://www.ducenit.com/,Old Mahabalipuram Road  Chennai,Business/Consulting,Company,OpenStreetMap
Hotel Pandian,https://hotelpandian.com/,"Kennet Ln, Egmore, Chennai, Tamil Nadu 600008  Chennai",IT/Business Services,Company,OpenStreetMap
CodeMyCompany,https://www.codemycompany.com/,City Limits Road  Chennai,IT/Business Services,Company,OpenStreetMap
Shanthi Tailors Pvt Ltd,www.shanthidanceneeds.com,Sannadhi Street  Chennai,IT/Business Services,Company,OpenStreetMap
Holiday Inn Express Chennai OMR Thoraipakkam,https://www.ihg.com/holidayinnexpress/hotels/us/en/chennai/maatp/hoteldetail,OMR Road  Chennai,IT/Business Services,Company,OpenStreetMap
Newsclick TN Office,https://newsclick.in,Narashiman 2nd Street  Chennai,IT/Business Services,Company,OpenStreetMap
Free Software Foundation Tamil Nadu (FSFTN),https://fsftn.org,Chennai,IT Services,Company,OpenStreetMap
Cho Chweet - Pet Shop,chochweet.in,North Boag Road  Chennai,IT/Business Services,Company,OpenStreetMap
lenskart.com,https://lenskart.com,Chennai,IT/Business Services,Company,OpenStreetMap
McKinsey & Company Chennai Knowledge Center,https://www.mckinsey.com/knowledge-network/chennai,Chennai,IT/Business Services,Company,OpenStreetMap
McKinsey & Company,https://www.mckinsey.com/in,Chennai,Business/Consulting,Company,OpenStreetMap
Magalir Satta Uthavi Maiyam (MSUM),https://msum.in,6th Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
Hotel Shelter Inn,https://www.hotelshelter.com/,Venkatesa Agraharam  Chennai,IT/Business Services,Company,OpenStreetMap
Beez Innovation Labs Pvt. Ltd.,https://www.beezlabs.com/,"SP-7A, South Phase, Guindy Industrial Estate, Guindy  Chennai",IT/Business Services,Company,OpenStreetMap
Tamilnadu Test House,https://www.tamilnadutesthouse.com/,"Lakshmi Kanthammal Street, Rajiv Nagar, Vanagaram  Chennai",IT/Business Services,Company,OpenStreetMap
Apollo Cancer Centres,https://apollocancercentres.com/,"Anna Salai, Teynampet,  Chennai",IT/Business Services,Company,OpenStreetMap
Landsteiner Lakshmi Memorial Research Foundation's Blood Bank,https://llmrfbloodbank.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Jeevan Blood Bank and Research Centre,https://www.jeevan.org/,Chennai,Electric/Energy,Company,OpenStreetMap
Raja Annamalai Puram Dispensary No.6,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
Gopalapuram Dispensary,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
Guindy Dispensary,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
Janaki E.N.T. Nursing Home,http://www.janakient.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Kummaran Eye Speciality Centre,http://www.kumaraneyecare.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Nandambakkam Dispensary,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
Nungambakkam Dispensary CandB Block,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
Perambur Dispensary,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
Avm Medical Ent Research Foundation Pvt Ltd,https://avmmerf.in/contact.php,Chennai,IT/Business Services,Company,OpenStreetMap
Fabindia,https://www.fabindia.com/,East Coast Road SH49  Chennai,IT/Business Services,Company,OpenStreetMap
Black Box,https://www.instagram.com/blackbox001,Kumarappa Street  Chennai,IT/Business Services,Company,OpenStreetMap
Quadkast Technologies,http://quadkast.com/,Chennai,IT Services,Company,OpenStreetMap
DHL Express (India) Pvt,https://www.dhl.co.in/,"12B, 3rd Cross Road, South Phase, Guindy Industrial Estate, Behind Olympia Techpark, Chennai, Tamil Nadu 600032  Chennai",IT/Business Services,Company,OpenStreetMap
Adyar Dispensary,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
K.K. Nagar Dispensary and Polyclinic,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Chennai,IT/Business Services,Company,OpenStreetMap
Kappa Chakka Kandhari,https://www.kappachakkakandhari.com,Haddows Road Nungambakkam Chennai,IT/Business Services,Company,OpenStreetMap
Mayori Conscious Clothing Store,https://www.mayori.in,Khader Nawaz Khan Road  Chennai,IT/Business Services,Company,OpenStreetMap
Sea La Vie,https://sealavieresort.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Roro Garage,https://rorogarage.com/,"Sevaliar Shivaji street, Ancheneyar nagar,Jalladianpet,  Chennai",IT/Business Services,Company,OpenStreetMap
Scans World,http://www.scansworld.in,Chennai,IT/Business Services,Company,OpenStreetMap
Yaa Mohaideen,https://yaamohaideenbriyani.com/,Grand Southern Trunk Road  Chennai,IT/Business Services,Company,OpenStreetMap
Peace Academy Chennai,https://peaceacademy.in/info/,Murrays Gate Road  Chennai,IT/Business Services,Company,OpenStreetMap
Yaathum.Life,https://www.bodhisays.com/,Vellalar Street  Chennai,IT/Business Services,Company,OpenStreetMap
Dhaarani’s Divine Smiles,https://ovmstudios.in/server/ddsmiles/index.html,Sabari Salai  Chennai,IT/Business Services,Company,OpenStreetMap
Nalli,https://www.nalli.com/,Grand Southern Trunk Road  Chennai,IT/Business Services,Company,OpenStreetMap
The Legend Saravana Store - Furniture Showroom,https://saravanastoreslegend.co.in/,"AP Block, Sector A, Anna Nagar West Extension, Chennai, Tamil Nadu  Chennai",IT/Business Services,Company,OpenStreetMap
Royal Residency,http://royalresidencychennai.com/,S.V. Chidambaram Salai Jafferkhanpet Chennai,IT/Business Services,Company,OpenStreetMap
R10 MGR Nagar Police Station,tnpolice.gov.in,"Guru Siva St, Sapthagiri Colony, West Jafferkhanpet, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
SPI Palazzo Chennai,https://www.pvrcinemas.com/,"Forum Vijaya Mall, 3rd, Chennai, Tamil Nadu 600026  Chennai",IT/Business Services,Company,OpenStreetMap
Poorvika Mobiles (Jafferkhanpet ),https://www.poorvika.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Dindigul Thalappakatti Ashok Nagar,https://thalappakatti.com/,"B 211, 11th Ave, 11th Avenue, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
TNEB Substation 33/11KV,tangedco.gov.in,"7/41, Raghava Colony W St, Ragavan Colony, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083  Chennai",Electric/Energy,Company,OpenStreetMap
Saravana Store Furniture Padi,https://saravanastoreslegend.co.in/,"15, Madras Thiruvallur High Rd, AP Block, Sector A, Padi, Chennai, Tamil Nadu 600098  Chennai",IT/Business Services,Company,OpenStreetMap
Amma Unavagam,ammaunavagam.com,"Bajanai Koil St, Nandambakkam, Tamil Nadu 600089  Chennai",IT/Business Services,Company,OpenStreetMap
Indian Oil Petrol Bunk,https://iocl.com/,"2/59, Sowbhagya Colony, Sector 1, K. K. Nagar, Chennai, Tamil Nadu 600078  Chennai",IT/Business Services,Company,OpenStreetMap
Island Kitchen,islandkitchen19.wixsite.com,"2, 15, Gangai Amman Koil St, Jawahar Nagar, West Jafferkhanpet, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
Icon Office Equipments,http://iconofficeequipments.com/,Cheran Street  Chennai,IT/Business Services,Company,OpenStreetMap
KS Bone and Joint Clinic - Ortho,https://www.ksboneandjointortho.in/,"B 50, Gangai Amman Koil St, Jawahar Nagar, West Jafferkhanpet, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
KSN Honda,https://www.honda2wheelersindia.com/,Anjugam Nagar 2nd Street  Chennai,IT/Business Services,Company,OpenStreetMap
G R Guest House,grguesthousechennai.com,"31 & 32, 1St Anjugam Nagar, Jafferkhanpet, Ashok Nagar, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
Royal Enfield Showroom,https://www.royalenfield.com/,"No 298, 1, Jawaharlal Nehru Rd, Ashok Nagar, Netaji Nagar, West Jafferkhanpet, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
Veekays Pet Care Clinic,https://veekayspetcare.com/,"89, Jawaharlal Nehru Rd, Kasi Estate, West Jafferkhanpet, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
Hotel Sangeetha Pure VEG,business.google.com,"No.3/2, Erikarai Street, Jafferkhanpet, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
Ashok Pharmacy,http://ashokpharmacy.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Sri Motors,https://srimotorsygs.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Artist Maya Wedding Cards,https://artistmayaweddingcards.com/,Chennai,IT/Business Services,Company,OpenStreetMap
