Company Name,Company Website,Company Location,Sector,Classification,Source
Sundaram Fasteners,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Krishnamurthi Foundation of India,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Centre of Excellence in Wireless Technology,,"Kanagam road, Taramani  Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
Reliance Telecom Center of Excellence,,"Kanagam road, Taramani  Chennai",IT Services,MNC,OpenStreetMap (Overpass)
Sithalapakkam Panchayat Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
SMS LABS SERVICES Pvt Ltd,,Poonamallee Thiruvallur Road,Company/Office,Company,OpenStreetMap (Overpass)
Service Integrator,http://gcl.in/,Alwarpet  chennai,IT Services,Startup,OpenStreetMap (Overpass)
Visionation Property Care,https://www.visionation.in/,Montieth Road  Egmore,Company/Office,Startup,OpenStreetMap (Overpass)
GlobalEnglish India Pvt Ltd.,https://globalenglish.com/,Mount Poonamallee Highway  Chennai,IT Services,Company,OpenStreetMap (Overpass)
BSNL Customer Service Center,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
MOTOR FINANCE CORPORATION ,,Adithanar Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
NIIT Nungambakkam,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
चेन्नई में जापान के वाणिज्य दूतावास जनरल,https://www.chennai.in.emb-japan.go.jp/index.html,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Eloka Enterprises Private Limited,https://eloka.net/,Padmanabha Nagar 5th Street  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Chitalappakam Panchayat & EB Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Eureka Associates,http://www.eurekaassociates.in/,Chandradevanesan Street  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Logic Soft Pvt. Ltd.,https://www.logicsoft.co.in/,Chokkalingam Nagar  Chennai,Company/Office,Company,OpenStreetMap (Overpass)
Sub-Registrar Office,,Bharathmatha Street,Company/Office,Startup,OpenStreetMap (Overpass)
LMS India Engg. Solutions Pvt. Ltd,,Kannadasan Road  Chennai,Company/Office,Company,OpenStreetMap (Overpass)
Chennaicommercials,,South Usman Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Zanec,,"Fourrts Avenue, Thuraipakkam  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
THARASU Group of Magazines,,Rameswaram Street  t.nagar,Company/Office,Startup,OpenStreetMap (Overpass)
Tamil Nadu Oil and Seeds Association,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Spritle Software,,Chakrapani St  Chennai,IT Services,Startup,OpenStreetMap (Overpass)
Gamesa,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
WizDemy Software Private Limited,,"48th Cross St Valmiki Nagar, Thiruvalluvar Nagar, Thiruvanmiyur  Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
LIC Housing Finance Ltd,,"Porur, Chennai Radius",Fintech,Company,OpenStreetMap (Overpass)
Qmax Test Equipments Private Limited,https://www.qmaxtest.com/,Elcot Avenue Sholinganallur Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
CSC Computer Education,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Jeevan Bhima Nagar Owners Welfare Association,,Madurai veerar street  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Fayola Towers,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Adyog Software Solutions Pvt Ltd.,,"Porur, Chennai Radius",Company/Office,Company,OpenStreetMap (Overpass)
Sri gokulam chit funds,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Touchmark Media,http://www.touchmarkmedia.in,"92nd St, 18th avenue, Ashok Nagar  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
prime academy office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Blaze Dream Technologies Pvt Ltd,https://www.blazedream.com/,Pycrofts Garden Road,IT Services,Company,OpenStreetMap (Overpass)
Airtel,,"Porur, Chennai Radius",IT Services,MNC,OpenStreetMap (Overpass)
Versutus Management Service Private ltd,https://www.versutus.com/,Kutchery Road  Chennai,Company/Office,Company,OpenStreetMap (Overpass)
New India Insurance Co. div office Velachery,,"Porur, Chennai Radius",Fintech,Startup,OpenStreetMap (Overpass)
BSNL Exchange,,Justice Ramakrishna Salai,Company/Office,Startup,OpenStreetMap (Overpass)
Ambattur Municipality Higher secondary school,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
EMPEE GROUP OF COMPANY,,Adithanar Road,Company/Office,Startup,OpenStreetMap (Overpass)
South India Shelters Pvt. Ltd.,,"Gulmohar Avenue, velachery main road  chennai",Company/Office,Company,OpenStreetMap (Overpass)
TAMIL NADU CABIL,,Montieth Lane,Company/Office,Startup,OpenStreetMap (Overpass)
KRISHNAMURTHY,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Metro Water,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Yes Yes Mega Powers,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Prestige Cyber Towers,,Rajiv Gandhi Salai  Karapakkam,IT Services,Startup,OpenStreetMap (Overpass)
Pondicherry Maritime Academy Chennai,https://www.pondicherrymaritime.com/,Angappan Naicken Street  Chennai,IT Services,Startup,OpenStreetMap (Overpass)
Official Gates,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Andhra Bank,https://www.andhrabank.in,TTK Road,IT Services,Startup,OpenStreetMap (Overpass)
corporation office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Tamil Nadu Electricity Board,,Kottivakkam Kuppam Road  Chennai City Corporation Limits,Company/Office,Startup,OpenStreetMap (Overpass)
DMedium,,"10th Street, Ram Nagar, Puzhuthivakkam  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
National Institute of Epidemiology,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
BJP Tamilnadu Head Quarters,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Hexolabs Interactive Tech Pvt Ltd,,"Dr.VSI Estate, Thiruvanmiyur  chennai",IT Services,Company,OpenStreetMap (Overpass)
Group10 Technologies Pvt Ltd,,Vigneshwara Street  Chennai,Company/Office,Company,OpenStreetMap (Overpass)
"LIC satellite office, selaiyur",,Velachery - Tambaram Main Road,Fintech,Startup,OpenStreetMap (Overpass)
Sneham seva center for tambaram municipality,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Trumatics,,6th Main Road  Chennai,IT Services,Startup,OpenStreetMap (Overpass)
Q-Pro,,6th Main Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Chief Education Office,,JEENIS ROAD,Company/Office,Startup,OpenStreetMap (Overpass)
Saint Thomas Matriculatoin Higher Secondary School,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Regional Transport Office-Sholinganallur,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
NSIC,https://nsic.co.in/,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Payilagam Software Training Institute,,"Vijayanagar 1st Main Road, Velachery  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
Amutha Matriculation Higher Secondary School,,"1st Ave, 4th Block, Mogappair West, Mogappair  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
Chennai Metro Water Office,,"D Block, 1st Ave, Mogappair West, Ambattur Industrial Estate  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
Mar Gregorios College Of Arts,,"Block No. 8, J.J. Nagar West, Mogappair West, Mogappair  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
BSNL Office,https://www.bsnl.co.in/,"Mogappair West, Mogappair  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
Airtel Express,,"Mogappair West, Mogappair  Chennai",IT Services,MNC,OpenStreetMap (Overpass)
Tata Communications Ltd.,,Nandambakkam Bridge  Chennai,Company/Office,MNC,OpenStreetMap (Overpass)
Tamilnadu electricity board office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
ObjectFrontier Software,https://www.objectfrontier.com/,Taramani Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Theekathir Office,,Saidapet,Company/Office,Startup,OpenStreetMap (Overpass)
Income Tax Department Additional/ joint commesioner office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Sharekhan - Share office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Periyar University Study Center,,15th Main Road,IT Services,Startup,OpenStreetMap (Overpass)
Kendriya Bhandar Regional Office,,Central Revenue Quarters,Company/Office,Startup,OpenStreetMap (Overpass)
Central PWD Service Center,,Central Revenue Quarters Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
C.P.W.D Service Center,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Nirman Bhavan,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Parveen Travels,,"Jawaharlal Nehru Road, Koyembedu, Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
DMDK Office,,"Jawaharlal Nehru Road, Koyembedu, Chennai",IT Services,Startup,OpenStreetMap (Overpass)
3ST,,Arcot Road Valasaravakkam Valasaravakkam,Company/Office,Startup,OpenStreetMap (Overpass)
Trail cloud innovation services Pvt.Ltd,https://www.trail.do/,Thiruvalluvar salai,Company/Office,Company,OpenStreetMap (Overpass)
TVF - Contagious online media network private limited,www.tvfplay.com,"Musiri Subramanium street, oliver road",Company/Office,Startup,OpenStreetMap (Overpass)
Way2SearchAnything,https://www.way2searchonlineshopping.com/,"Padikuppam road, Balaji Nagar, Thirumangalam, Anna Nagar West, Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
ICF Cooperative Society Store,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
HCL Technologies Ltd.,,"Porur, Chennai Radius",Company/Office,MNC,OpenStreetMap (Overpass)
US Biometrics Centre,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
ST Courier,http://stcourier.com/,MKN Road,Company/Office,Startup,OpenStreetMap (Overpass)
Manogaran Typewriting Institute,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
TSR Packers And Movers,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
KMB,,Kundrathur Main Road peripanicherry  chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Ducen IT,https://www.ducenit.com/,Old Mahabalipuram Road  CHENNAI,IT Services,Startup,OpenStreetMap (Overpass)
Chennai Two Software Park,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
BETA CAE Systems India Pvt. Ltd. (Chennai Office),https://www.beta-cae.com/,"Rattha Tek Meadows Tower B, 3rd Floor, Rajiv Gandhi Salai (OMR), Sholinganallur  Chennai",Company/Office,Company,OpenStreetMap (Overpass)
Tamil Nadu Public Service Commission,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
CodeMyCompany,https://www.codemycompany.com/,City Limits Road,Company/Office,Startup,OpenStreetMap (Overpass)
Comcast India Engineering Center,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
GeoConcept India,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
வி.பி.சிந்தன் இல்லம் (CITU Perungudi Office),,"Burma Colony, Perungudi, Chennai",IT Services,Startup,OpenStreetMap (Overpass)
Chennai Drinking Water and Drainage Clearance Board,,"Thiruvalluvar Salai, Teynampet, Chennai-18",Company/Office,Startup,OpenStreetMap (Overpass)
Mangaldeep Puja Agarbathis,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Tamil Nadu Medical and Sales Representative Association,,"Kamabar Street, Abith Colony, Saidapet",Company/Office,Startup,OpenStreetMap (Overpass)
General Electric,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Bank Employees Federation of India,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Centre of Indian Trade Unions State Committee Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Free Software Foundation Tamil Nadu (FSFTN),https://fsftn.org,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Tamil Nadu Electricity Employees Central Point,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
McKinsey & Company Chennai Knowledge Center,https://www.mckinsey.com/knowledge-network/chennai,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
McKinsey & Company,https://www.mckinsey.com/in,"Porur, Chennai Radius",Business Consulting,Startup,OpenStreetMap (Overpass)
McKinsey & Company Chennai Service Center,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
hutmatrix Architects,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Magalir Satta Uthavi Maiyam (MSUM),https://msum.in,"6th Main Road  Anna Nagar, Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
Rail Vikas Nigam Limited,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Beez Innovation Labs Pvt. Ltd.,https://www.beezlabs.com/,"SP-7A, South Phase, Guindy Industrial Estate, Guindy  Chennai",IT Services,Company,OpenStreetMap (Overpass)
Cottee Union Office,,"Singanna Street, Chindadripet",Company/Office,Startup,OpenStreetMap (Overpass)
MADARTH,,Alamelumangapuram  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Rmade Technologies,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
iSprout Business Centre,,"PLOT NO. SP 22, Ekkatuthangal, Guindy  Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
S4 Tower,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
S3 Tower,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
S1 Tower,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
S2 Tower,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Quadkast Technologies,http://quadkast.com/,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
EPF office,,"Nandambakkam, Tamil Nadu 600089",Company/Office,Startup,OpenStreetMap (Overpass)
Crescent College,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Star Health and Allied Insurance Co Ltd,,"Porur, Chennai Radius",Fintech,Company,OpenStreetMap (Overpass)
Sri Lankan Airlines,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Office of the Registrar of Cooperative Societies,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Edufic Digital,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Global Logistics,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Kerry Indev Logistics,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Muthoot Finance,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Bajaj Capital,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Indigo Airlines,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Maruti Couriers and Cargo,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
CARE Institute of Behavorial Sciences,,Dr Thirumurthy Nagar 5th Street  Chennai,IT Services,Startup,OpenStreetMap (Overpass)
Hindu Religious and Charitable Endowments Department,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Keith Electronics Pvt Ltd,,"Porur, Chennai Radius",Hardware/Manufacturing,Company,OpenStreetMap (Overpass)
Voltas Aerocool,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Shri Vinayaka Impex,,Dr Thirumurthy Nagar 5th Street  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Sundaram Finance Holdings,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Kin Technologies Pvt Ltd,,"Porur, Chennai Radius",Company/Office,Company,OpenStreetMap (Overpass)
Professional Courier,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
The Krishna Group,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Handloom Export Promotion Council,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Tamil Nadu Electricity Generation & Distribution office,,"Porur, Chennai Radius",Electric/Energy,Startup,OpenStreetMap (Overpass)
Roanuz Softwares,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Vetivert Collective,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Consulate General of the Republic of Singapore,,Doctor Shivaji Ganesan Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Malligai Dental Academy,,7th Avenue  Chennai,IT Services,Startup,OpenStreetMap (Overpass)
Panchayat Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Ambattur RTO,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
TNEB Substation 33/11KV,tangedco.gov.in,"7/41, Raghava Colony W St, Ragavan Colony, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083",Electric/Energy,Startup,OpenStreetMap (Overpass)
Stone Bench Pvt Ltd,https://www.stonebench.co.in/,12th Avenue Ashok Nagar Chennai,Company/Office,Company,OpenStreetMap (Overpass)
Tamil Nadu Public Distribution Scheme Service Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Sunaadalahari,https://www.sunaadalahari.org/,CP Ramaswamy Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Sri Lakshmi Agro,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
GUINDY SIDCO INDUSTRIAL ESTATE,,"HQ10 GUINDY SIDCO INDUSTRIAL ESTATE,  Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
Viduthalai,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
IGNOU Chennai Regional Office,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Dravidar Kazhagam - HQ,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
HDFC Home Loans Velachery Branch,https://www.hdfc.com,"Balaji Nagar, Velachery Main Road  Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
Vikatan Publisher,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Lodha Estates and Finance,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Zupersoft Solution PVT Ltd,https://zuper.co/,"Prakasam Street, Gangai Karai Puram, T. Nagar  Chennai",Company/Office,Company,OpenStreetMap (Overpass)
Jacob Scientifics - Head Office,http://www.jacobscientifics.com,Madipakkam Main Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Sowrem Promoters,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Shastra Cards Private Limited,http://www.shastracards.com/,Bazullah Road T. Nagar Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
YogaVahini,,"19th St, Venkateswara Nagar, Kottivakkam  Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
Schatz Enterprises Private Limited,https://schatzmarkets.com/,"5th Avenue, Shanthi Colony,  Chennai",Business Consulting,Startup,OpenStreetMap (Overpass)
SARF Communications,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
IPCS Automation,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Maaya Systems,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Helxyon Healthcare,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Nexus Interiors,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
VFS Global Services Pvt. Ltd.,,Ethiraj Salai  Chennai,Company/Office,Company,OpenStreetMap (Overpass)
Cafeteria | PT area,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Saama Technologies pvt. Ltd,,"Porur, Chennai Radius",Company/Office,Company,OpenStreetMap (Overpass)
Village Administrator's Office - Alandur,,M.K.N. Road,Company/Office,Startup,OpenStreetMap (Overpass)
Trimble Information Technologies India Pvt Ltd,https://www.trimble.com/en/,"Porur, Chennai Radius",Company/Office,Company,OpenStreetMap (Overpass)
The Oriental Insurance Company,,"Porur, Chennai Radius",Fintech,Startup,OpenStreetMap (Overpass)
Life Insurance Corporation,,"Porur, Chennai Radius",Fintech,Startup,OpenStreetMap (Overpass)
United India Insurance Company,,"Porur, Chennai Radius",Fintech,Startup,OpenStreetMap (Overpass)
Themis Attorneys,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Food Corporation of India,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
NABARD,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Central Stationary Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Wildlife Warden,https://guindypark.com/,Guindy National Park,Company/Office,Startup,OpenStreetMap (Overpass)
Chennai Metro Water Distribution Station,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
VAO Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Paul Travels,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
City Travels,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
National Travels,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Olive Travel Lines,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Centre of Indian Trade Unions,,"Porur, Chennai Radius",IT Services,Startup,OpenStreetMap (Overpass)
Novac Technology Solutions,https://www.novactech.in/,"Statesman One, Ramakrishna Mutt Rd  Mylapore,Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
United Nations High Commissioner for Refugees Field Office Chennai,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Madras Management Association,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Pfizer,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
The Hindu,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Aanand & Co,,"3rd Street, Sundaram Colony  West Tambaram",Fintech,Startup,OpenStreetMap (Overpass)
VBC solitaire,,Bazullah Road,Company/Office,Startup,OpenStreetMap (Overpass)
Arasu Infotech,arasuinfotechservices.com,"1st and 2nd floor, Om sakthi nagar, Kasi Towers, Mettukuppam, Vanagaram  Chennai",IT Services,Startup,OpenStreetMap (Overpass)
DM Law Associates,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Shri Bhagiyalakshmi Travels,,SBLT Office,Company/Office,Startup,OpenStreetMap (Overpass)
RTL-Academy,www.rtlacademy.org,"1st Street, Sigamani Nagar  Chennai",Business Consulting,Startup,OpenStreetMap (Overpass)
VGP Golden Seaview Residents’ Welfare Association Office,,VGP Layout Park  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Vasant Printers,,"Thiru Vi Ka Indl Estate, Guindy  Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
Food Ingredient Specialities Private Limited,,"Vanagaram - Ambattur Road  Ayanambakkam, Chennai",Company/Office,Startup,OpenStreetMap (Overpass)
Department Of Tribal Welfare,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Rohit Krishna,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
R. Anand,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Tamil Nadu Engineering Works,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
S. Prakashchand Jain Advocates,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Hindustan Marketing,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Emerson Process Management Chennai,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Iss relocations,https://iss-relocations.com/,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Sree Tantric Astrology,https://sreetantricastrology.com,Bazullah Road  T.Nagar,Company/Office,Startup,OpenStreetMap (Overpass)
Sree Vinayaga Builders,,27th Street  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
